,Acquisition Amount,Acquisition Date,Acquisition Method,Address,Asbestos Survey RFP Group,BTF Recommendation,Bid Price Contractor Amount,Case GTJ Photo Link,Current Status,Current Status Date,Demo Contractor,Demo Contractor Proceed Date,Demo RFP Group,Foreclosure Year,Grant Program,Knock Down Date,NTP Batch,NTP Date,Occupancy Model Last Update,Occupancy Model Probability,Parcel ID,Photo URL,Pipeline,Planned Knock Down Date,Program,Property Ownership,Sold - Auction,Sold - Direct Sale,Sold - Side Lot,Sold Date,Util Cut Status
827,,2014-12-04,Transfer-City PDD,17175 Harlow,,,0.0,,,2016-03-30,,,,2003,,,,,,,22070128.,https://wdwot.s3.amazonaws.com/blexts/000/012/716/blext20131206-17307-wvxabq.jpg,,,Side Lot,Formerly DLBA Owned,False,False,True,2015-07-11,No Cuts Confirmed
828,,2014-12-04,Transfer-City PDD,17506 Heyden,,,0.0,,Vacant Land,2016-07-26,,,,2003,,,,,,,22099280.,https://wdwot.s3.amazonaws.com/blexts/000/012/736/blext20131206-32097-11zrl62.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
829,,2016-01-15,Transfer-WCT,17525 Vaughan,,Further Analysis,0.0,http://www.gtjadmin.com/view_assets.asp?id=2086725,Sales Review,2016-03-31,,,,,,,,,2017-03-15,14.3120027430898,22098167.,https://wdwot.s3.amazonaws.com/blexts/000/565/433/d94ff459d08d7e65.jpg?t=1460088168,Own It Now,,Own It Now,DLBA Owned,False,False,False,,No Cuts Confirmed
830,,2015-06-16,Transfer-City PDD,17530 Heyden,,,0.0,,For Sale,2016-03-30,,,,2008,,,,,,,22099284.,https://wdwot.s3.amazonaws.com/blexts/000/012/782/blext20131206-32097-1sec9xb.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
831,,2016-01-15,Transfer-WCT,17207 Harlow,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,22070124.,https://wdwot.s3.amazonaws.com/blexts/000/012/799/blext20131206-17307-zz7kaw.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
832,,2014-12-04,Transfer-City PDD,640 Westminster,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,03002618.001,https://wdwot.s3.amazonaws.com/blexts/000/012/802/blext20131206-32097-tjam6u.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
833,,2014-03-04,Transfer-City PDD,2652 Norman,03282014F,Structure Removal,6900.0,http://www.gtjadmin.com/view_assets.asp?id=1874104,Sales Review,2016-03-30,ABC Demolition,,4e,2010,a07j0000003iIyrAAE,2014-06-30,HHF1 NTP 2,2014-03-27,,,20007357.,https://wdwot.s3.amazonaws.com/blexts/000/689/656/d4fd5f69b248e5e6.jpg?t=1479445701,Side Lot,2014-07-08,Side Lot,DLBA Owned,False,False,False,,Double Cut
834,,2014-12-04,Transfer-City PDD,17556 Heyden,,,0.0,,For Sale,2016-03-30,,,,,,,,,,,22099287.,https://wdwot.s3.amazonaws.com/blexts/000/012/820/blext20131206-32097-sifa1p.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
835,,2016-01-15,Transfer-WCT,17213 Harlow,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,22070113-23,https://wdwot.s3.amazonaws.com/blexts/000/012/830/blext20131206-17307-o00ajc.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
836,,2016-01-13,Transfer-WCT,637 Westminster,,,0.0,,For Sale,2016-03-30,,,,,,,,,,,03002652.,https://wdwot.s3.amazonaws.com/blexts/000/572/441/502fb6b20f6ed205.jpg?t=1463198745,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
