unique_misfit,Count,geoc_address,anon_return,,,,,
GRANDVILLE - 8MILE,1,,,,,,,
E CANFIELD,1,,,,,,,
GRATIOT AVE,1,,,,,,,
E DAVISON TO I 75,1,,,,,,,
GRATIOT HELEN,1,,,,,,,
E I 96 TO GREENFIELD RAMP,1,,,,,,,
GRATIOT-GLENFIELD,1,,,,,,,
%E MCNICHOLS%  DETROIT,1,,,,,,,
GRATIOT-KNODELL,1,,,,,,,
E JEFFERSON PHILLIP,1,,,,,,,
GRATIOT-WILFRED,1,,,,,,,
E JEFFERSON-MT.ELLIOTT,1,,,,,,,
C A,1,,,,,,,
E LAFAYETTE,1,,,,,,,
GREEKTOWN HOTEL,1,,,,,,,
E LAFEYETTE,1,,,,,,,
C NAR,1,,,,,,,
E MCNBICHOLS BRUSH,1,,,,,,,
GREENFIELD ST,1,,,,,,,
E MCNICHOLS-JOANN,1,,,,,,,
GREENLAWN ST,1,,,,,,,
E STATE FAIR,1,,,,,,,
GRISWOLD - FORT,1,,,,,,,
E STATE FAIR ST,1,,,,,,,
GRNFLD - 6 MILE,1,,,,,,,
E WARREN,1,,,,,,,
GRNFLD-6MILE,1,,,,,,,
LIVERNOISNB LODGE,1,,,,,,,
GROSSE POINTE WOODS PD,1,,,,,,,
LIVONIA POLICE DEPARTMENT,1,,,,,,,
HAMTRAMCK POLICE DEPARTMENT,1,,,,,,,
LOTHROP-W GRAND BLVD,1,,,,,,,
HARBORTOWN,1,,,,,,,
E WARREN ST,1,,,,,,,
AF,1,,,,,,,
E. 7 MILE,1,,,,,,,
HARPER WOODS PD,1,,,,,,,
E. JEFFERSON NEAR CONNER,1,,,,,,,
HAVERHILL,1,,,,,,,
E. MCNICHOLS RD,1,,,,,,,
HEADQUARTERS,1,,,,,,,
E. STATE FAIR NEAR REX,1,,,,,,,
HENRY FORD FAIRLANE ER,1,,,,,,,
EAST JEFFERSON PLAZA,1,,,,,,,
CADILLAC SQ,1,,,,,,,
EASTBURN,1,,,,,,,
HITLON GARDEN CAFE,1,,,,,,,
BEL AIR,1,,,,,,,
HOUSE OF PRAISE,1,,,,,,,
BELLE ISLE,1,,,,,,,
HOUSTON WHITTIER AVEHARPER,1,,,,,,,
EASTERN MKT,1,,,,,,,
HUBBELL.THATCHER,1,,,,,,,
BELLE ISLE CASINO,1,,,,,,,
HUMAN SOCIETY,1,,,,,,,
EASTLAND MALL,1,,,,,,,
I-75 FREEWAY WEST OF TRUMBULL OVERPASS,1,,,,,,,
EASTLAND MOTEL,1,,,,,,,
ALUMNI HOUSE,1,,,,,,,
EB 7 MILE,1,,,,,,,
INDIANA ST,1,,,,,,,
EB 8 MILE,1,,,,,,,
INKSTER MI,1,,,,,,,
EB MICHIGAN AVE,1,,,,,,,
CAMPUS MALL,1,,,,,,,
EB ON 8 MILE,1,,,,,,,
JOHN C LODGE FWY - GRAND BLVD,1,,,,,,,
EDSEL FORD FWY-75,1,,,,,,,
JOY -  ASHTON,1,,,,,,,
EINSTEIN BAGEL,1,,,,,,,
JOY GREENFIELD,1,,,,,,,
ELIJAH MCCOY DR,1,,,,,,,
KENTUCKY,1,,,,,,,
ELISA HOWELL PARK,1,,,,,,,
CAMPUS MARCIUS,1,,,,,,,
ELISA PARK,1,,,,,,,
LAKEWOOD PARK,1,,,,,,,
BELMONT SHOPPING CENTER,1,,,,,,,
LAPEER COUNTY,1,,,,,,,
ELIZA HOWELL PK,1,,,,,,,
LARNED - CONGRESS,1,,,,,,,
BENTLER - 7(SOUTH OF),1,,,,,,,
LAWNDALE,1,,,,,,,
ELMDALE WHITEHILL ST,1,,,,,,,
LAYFETTE ORLEANS,1,,,,,,,
ELMDALE-HAYES,1,,,,,,,
LINDSAY,1,,,,,,,
ENGLEWOOD ST  WOODWARD,1,,,,,,,
LINWOOD - HOOKER,1,,,,,,,
ENROUTE TO DRH,1,,,,,,,
LINWOOD ST - CORTLAND ST,1,,,,,,,
EPWORTH,1,,,,,,,
"LIVERNOIS AVE, FLOYD ST",1,,,,,,,
ETHEL ST,1,,,,,,,
CAN,1,,,,,,,
BLAINE  WOODWARD,1,,,,,,,
E WARREN AVE  CONNER,1,,,,,,,
LODGE - 7(IN DITCH),1,,,,,,,
E WARREN AVE CADILLAC,1,,,,,,,
DEC,1,,,,,,,
E WARREN AVE EUGENE,1,,,,,,,
(blank),,,,,,,,
