unique_misfit,Count,geoc_address,anon_return,,,,,
DETROIT RECIEVING HOSPITAL,2,4201 ST ANTOINE ST,,,,,,
.,2,,,,,,,
BOTSFORD HOSPITAL,2,,,,,,,
DU,2,,,,,,,
W WARREN,3,,W WARREN,,,,,
AWD,2,,,,,,,
HAZEL PARK PD,2,,,,,,,
CHILDRENS HOSP,2,3901 BEAUBIEN ST,,,,,,
JOE LOUIS ARENA,2,19 STEVE YZERMAN DR,,,,,,
ACE OF SPADES,2,19245 W 8 MILE RD,,,,,,
GRACE HOSP,2,6071 OUTER DR W,,,,,,
WARREN,2,,WARREN,,,,,
`,2,,,,,,,
BALLDUCK PARK,2,5271 CANYON ST,,,,,,
WEST GRAND BLVD,2,,WEST GRAND BLVD,,,,,
ELLIS PARK,2,,,,,,,
WOODBRIDGE,58,,WOODBRIDGE,,,,,
WOODWARD,51,,WOODWARD AVE,,,,,
DETROIT RECEIVING HOSP,2,4201 ST ANTOINE ST,,,,,,
FAIRLANE,2,,,,,,,
WOODWARD DETAIL,11,,WOODWARD AVE,,,,,
ADV,2,,,,,,,
DETROIT RECIVING HOSPITAL,2,4201 ST ANTOINE ST,,,,,,
FAIRLANE TRANSIT CENTER,2,,,,,,,
WOODWARD AVE,3,,WOODWARD AVE,,,,,
FERRY PARK - 14TH,2,FERRY PARK AND 14TH ST,,,,,,
WOODWARD CORRIDOR,2,,WOODWARD AVE,,,,,
WOODWARD BEAT,2,,WOODWARD AVE,,,,,
LIVONIA PD,2,,,,,,,
WOODINGHAM DR,1,,,,,,,
VIRGINA PARK,1,,,,,,,
STOEPEL,1,,,,,,,
N I 75 TO GRAND RIVER RAMP,1,,,,,,,
MOTOR CITY CASINO S PARKING,1,,,,,,,
N M 10 TO LINWOOD RAMP,1,,,,,,,
MILLER - CONCORD,1,,,,,,,
MCGRAW,1,,,,,,,
TROY CITY,1,,,,,,,
NB DEXTER,1,,,,,,,
W I 94  RAMP,1,,,,,,,
NB WOODWARD,1,,,,,,,
MARINERS PARK,1,,,,,,,
NEVADA,1,,,,,,,
WOODWARD ST PALMER ST,1,,,,,,,
NO RESPNC FROM SCT,1,,,,,,,
MONARCH E 7 MILE,1,,,,,,,
NORTH TRANSIT CTR,1,,,,,,,
MONTA VISTA,1,,,,,,,
MCNAMARA BUILDING,1,,,,,,,
VAN DYKE,1,,,,,,,
NORTHLAND BUS TERM,1,,,,,,,
W CHICAGO ST,1,,,,,,,
MADISON AVE.,1,,,,,,,
W OUTER DRIVE,1,,,,,,,
NORTHLAND BUS TERMNAL,1,,,,,,,
WARREN WESTWOOD,1,,,,,,,
LYDON RADIO,1,,,,,,,
WESTLA ND PD,1,,,,,,,
NORTHLAND MALL TRANSIT CENTER,1,,,,,,,
WOODWARD - PETERBORO,1,,,,,,,
MED SCHOOL,1,,,,,,,
N I 75 TO 7 MILE RAMP,1,,,,,,,
NORTHLAND SHOPPING CENTER,1,,,,,,,
MLK - I96,1,,,,,,,
NORTHLAND TERMINAL,1,,,,,,,
STATEFAIR GRIUNDS,1,,,,,,,
MAIN CAMPUS,1,,,,,,,
STURDEVANT ST,1,,,,,,,
NSO,1,,,,,,,
TRAINING,1,,,,,,,
NUA,1,,,,,,,
UNION BUSINESS,1,,,,,,,
OAK PARK POLICE DEPT,1,,,,,,,
VANDYKE EB,1,,,,,,,
OAKLAND,1,,,,,,,
W 7MILE,1,,,,,,,
MEHARRIS PK,1,,,,,,,
W GRAND,1,,,,,,,
OAKWOOD HOSP,1,,,,,,,
MACOMB COUNTY SHERRIFFS,1,,,,,,,
OAKWOOD HOSPITAL,1,,,,,,,
W WARREN AVE,1,,,,,,,
OHIO STATELINE,1,,,,,,,
WARREN - MANSFLD,1,,,,,,,
OLD REDFORD MARKET,1,,,,,,,
WATERFORD - ATTEMPT 9300,1,,,,,,,
ON PAPER- INJ-ACC FROM OCT 12TH,1,,,,,,,
WB LIVERNOIS,1,,,,,,,
OUTER DR - EVERGRN,1,,,,,,,
WOODBEND PLAZA,1,,,,,,,
OUTER DR APPOLINE,1,,,,,,,
WOODWARD - ERSKINE,1,,,,,,,
MALL,1,,,,,,,
MUMFORD HS,1,,,,,,,
OUTER TO N I 75,1,,,,,,,
WRAP AROUND,1,,,,,,,
PARKING GARAGE 2ND FLR,1,,,,,,,
MIDLAND ST,1,,,,,,,
PARKISON,1,,,,,,,
ST MARYS - PEMBROKE,1,,,,,,,
PATTON PARK,1,,,,,,,
STANLEY - MISSOURI,1,,,,,,,
PATTON ST,1,,,,,,,
MONROE,1,,,,,,,
PELKY,1,,,,,,,
STEEL JAMES COUZENS,1,,,,,,,
PEMBROKE - MANSFIELD,1,,,,,,,
STRUCTURE 5,1,,,,,,,
PEMBROKE MANSFIELD,1,,,,,,,
TELEGRAPH W JEFFRIES FWY,1,,,,,,,
PIEDMONT,1,,,,,,,
TIGER STADIUM,1,,,,,,,
PINGREE -SECOND,1,,,,,,,
TRANSIT CENTER,1,,,,,,,
PITTSBURG,1,,,,,,,
TYTYRTYRTYYRT,1,,,,,,,
PL 9300 IN CONJ,1,,,,,,,
UNK STREET,1,,,,,,,
PL ATS - PER SCT IN CONJ,1,,,,,,,
VAN DYKE STDARWIN,1,,,,,,,
PL PP,1,,,,,,,
MOROSS-MACK,1,,,,,,,
PL WITH TCRU,1,,,,,,,
W 7 MILE.HARTWELL,1,,,,,,,
METRO AIRPORT,1,,,,,,,
W CHI - W OUTER DR,1,,,,,,,
PLYMOUTH VAUGHN,1,,,,,,,
W FORT,1,,,,,,,
PO BOX 21385,1,,,,,,,
W GRAND ST,1,,,,,,,
POS13,1,,,,,,,
W I 94 TO GRAND RIVER RAMP,1,,,,,,,
PRISONER DETAIL,1,,,,,,,
W MCNICHOLS.WOODWARD,1,,,,,,,
PROVIDENCE HOSP,1,,,,,,,
W SIX MILE OUTER DRIVE,1,,,,,,,
MEXICAN VILLAGE AREA,1,,,,,,,
W. DAVISON,1,,,,,,,
PURITAN WOODINGHAM,1,,,,,,,
WARREN  - STHFLD,1,,,,,,,
PURITAN.SCHAEFER,1,,,,,,,
WARREN GRANDVILLE,1,,,,,,,
PURITAN-SOUTHFIELD FWY,1,,,,,,,
WASHINGTON BLVD,1,,,,,,,
Q,1,,,,,,,
WAYNE COUNTY DIV# 1,1,,,,,,,
RA JH E 7 GRATIOT,1,,,,,,,
